Job Title,Category,Demand Level,Expected Salary,Updated At,Skills,Description
Data Scientist 4,Tech,Medium,$110k-$150k,2025-08-08T22:10:16+05:00,Data Analysis; CSS; Deep Learning; Machine Learning; PyTorch; Python; Kubernetes; SQL; C++; JavaScript,A Data Scientist 4 is responsible for various tasks in the Tech field.
AI Engineer 4,Tech,High,$70k-$90k,2025-08-08T22:10:16+05:00,Kubernetes; Linux; Python; Deep Learning; Node.js; TensorFlow; JavaScript; Machine Learning; HTML; Data Analysis,A AI Engineer 4 is responsible for various tasks in the Tech field.
Web Developer 4,Tech,High,$90k-$110k,2025-08-08T22:10:16+05:00,Linux; JavaScript; Java; C++; Machine Learning; Kubernetes; PyTorch; React; Python; Data Analysis,A Web Developer 4 is responsible for various tasks in the Tech field.
UI Designer 4,Design,High,$70k-$90k,2025-08-08T22:10:16+05:00,Sketch; Illustrator; Typography; Branding; Figma; Wireframing; Adobe Photoshop; Prototyping; InDesign; UI/UX,A UI Designer 4 is responsible for various tasks in the Design field.
Cybersecurity Specialist 4,Tech,High,$90k-$110k,2025-08-08T22:10:16+05:00,CSS; Deep Learning; HTML; Node.js; Cloud Computing; Docker; Data Analysis; React; Java; C++,A Cybersecurity Specialist 4 is responsible for various tasks in the Tech field.
Graphic Designer 4,Design,Low,$110k-$150k,2025-08-08T22:10:16+05:00,Branding; UI/UX; Wireframing; Typography; Adobe Photoshop; Sketch; Illustrator; Prototyping; InDesign; Figma,A Graphic Designer 4 is responsible for various tasks in the Design field.
Digital Marketer 4,Marketing,Low,$110k-$150k,2025-08-08T22:10:16+05:00,Email Marketing; Social Media; Google Analytics; Copywriting; SEO; Content Marketing; Brand Strategy; Market Research; PPC,A Digital Marketer 4 is responsible for various tasks in the Marketing field.
SEO Specialist 4,Marketing,High,$110k-$150k,2025-08-08T22:10:16+05:00,Google Analytics; Market Research; PPC; Content Marketing; Copywriting; Brand Strategy; SEO; Email Marketing; Social Media,A SEO Specialist 4 is responsible for various tasks in the Marketing field.
Nurse 4,Healthcare,Low,$70k-$90k,2025-08-08T22:10:16+05:00,Diagnostics; Phlebotomy; Healthcare IT; Surgery Assistance; Patient Care; Pharmacology; First Aid; Medical Terminology,A Nurse 4 is responsible for various tasks in the Healthcare field.
Doctor 4,Healthcare,Low,$110k-$150k,2025-08-08T22:10:16+05:00,Diagnostics; Healthcare IT; Pharmacology; Surgery Assistance; First Aid; Patient Care; Medical Terminology; Phlebotomy,A Doctor 4 is responsible for various tasks in the Healthcare field.
Teacher 4,Education,Medium,$110k-$150k,2025-08-08T22:10:16+05:00,Classroom Management; Lesson Planning; Curriculum Development; Assessment Design; Educational Technology; Public Speaking,A Teacher 4 is responsible for various tasks in the Education field.
Content Writer 4,Marketing,Medium,$110k-$150k,2025-08-08T22:10:16+05:00,Copywriting; Brand Strategy; Social Media; Content Marketing; Google Analytics; Market Research; PPC; Email Marketing; SEO,A Content Writer 4 is responsible for various tasks in the Marketing field.
Mobile App Developer 4,Tech,High,$110k-$150k,2025-08-08T22:10:16+05:00,CSS; Data Analysis; Deep Learning; Java; SQL; PyTorch; C++; JavaScript; HTML; Docker,A Mobile App Developer 4 is responsible for various tasks in the Tech field.
Cloud Engineer 4,Tech,High,$90k-$110k,2025-08-08T22:10:16+05:00,Cloud Computing; Docker; JavaScript; Data Analysis; Python; Linux; HTML; React; Java; CSS,A Cloud Engineer 4 is responsible for various tasks in the Tech field.
Game Developer 4,Tech,Low,$70k-$90k,2025-08-08T22:10:16+05:00,Linux; PyTorch; CSS; Kubernetes; Python; JavaScript; Java; Machine Learning; Node.js; React,A Game Developer 4 is responsible for various tasks in the Tech field.
Project Manager 4,Business,Medium,$90k-$110k,2025-08-08T22:10:16+05:00,Negotiation; Agile; Business Strategy; Risk Management; Project Management; Budgeting; Scrum; Leadership,A Project Manager 4 is responsible for various tasks in the Business field.
Business Analyst 4,Business,Low,$110k-$150k,2025-08-08T22:10:16+05:00,Leadership; Agile; Scrum; Negotiation; Business Strategy; Budgeting; Project Management; Risk Management,A Business Analyst 4 is responsible for various tasks in the Business field.
Data Analyst 4,Tech,Medium,$50k-$70k,2025-08-08T22:10:16+05:00,Java; Python; CSS; Node.js; HTML; SQL; C++; Linux; Machine Learning; Kubernetes,A Data Analyst 4 is responsible for various tasks in the Tech field.
Mechanical Engineer 4,Engineering,Low,$70k-$90k,2025-08-08T22:10:16+05:00,Thermodynamics; Mathematics; Project Planning; Problem Solving; Fluid Mechanics; CAD; Structural Analysis; 3D Modeling,A Mechanical Engineer 4 is responsible for various tasks in the Engineering field.
Civil Engineer 4,Engineering,Low,$90k-$110k,2025-08-08T22:10:16+05:00,3D Modeling; CAD; Structural Analysis; Problem Solving; Mathematics; Thermodynamics; Project Planning; Fluid Mechanics,A Civil Engineer 4 is responsible for various tasks in the Engineering field.
Data Scientist 5,Tech,Medium,$50k-$70k,2025-08-08T22:10:16+05:00,React; Machine Learning; Deep Learning; TensorFlow; Data Analysis; JavaScript; CSS; SQL; Python; Kubernetes,A Data Scientist 5 is responsible for various tasks in the Tech field.
AI Engineer 5,Tech,High,$70k-$90k,2025-08-08T22:10:16+05:00,React; JavaScript; Machine Learning; Node.js; PyTorch; Kubernetes; SQL; Python; Cloud Computing; Docker,A AI Engineer 5 is responsible for various tasks in the Tech field.
Web Developer 5,Tech,Medium,$70k-$90k,2025-08-08T22:10:16+05:00,JavaScript; PyTorch; Docker; Linux; Kubernetes; Machine Learning; C++; Java; Python; Cloud Computing,A Web Developer 5 is responsible for various tasks in the Tech field.
UI Designer 5,Design,Low,$50k-$70k,2025-08-08T22:10:16+05:00,UI/UX; Illustrator; Wireframing; InDesign; Prototyping; Branding; Sketch; Figma; Adobe Photoshop; Typography,A UI Designer 5 is responsible for various tasks in the Design field.
Cybersecurity Specialist 5,Tech,Medium,$50k-$70k,2025-08-08T22:10:16+05:00,Linux; TensorFlow; Node.js; HTML; Deep Learning; Machine Learning; Python; C++; Docker; Java,A Cybersecurity Specialist 5 is responsible for various tasks in the Tech field.
Graphic Designer 5,Design,Low,$90k-$110k,2025-08-08T22:10:16+05:00,Sketch; UI/UX; Illustrator; Branding; Wireframing; Figma; Adobe Photoshop; InDesign; Typography; Prototyping,A Graphic Designer 5 is responsible for various tasks in the Design field.
Digital Marketer 5,Marketing,High,$50k-$70k,2025-08-08T22:10:16+05:00,Content Marketing; Google Analytics; SEO; Copywriting; Market Research; Social Media; PPC; Brand Strategy; Email Marketing,A Digital Marketer 5 is responsible for various tasks in the Marketing field.
SEO Specialist 5,Marketing,Medium,$90k-$110k,2025-08-08T22:10:16+05:00,Copywriting; Email Marketing; Google Analytics; PPC; Content Marketing; Brand Strategy; SEO; Social Media; Market Research,A SEO Specialist 5 is responsible for various tasks in the Marketing field.
Nurse 5,Healthcare,High,$110k-$150k,2025-08-08T22:10:16+05:00,Medical Terminology; First Aid; Diagnostics; Healthcare IT; Pharmacology; Patient Care; Surgery Assistance; Phlebotomy,A Nurse 5 is responsible for various tasks in the Healthcare field.
Doctor 5,Healthcare,Low,$50k-$70k,2025-08-08T22:10:16+05:00,Phlebotomy; Patient Care; Medical Terminology; Healthcare IT; First Aid; Pharmacology; Diagnostics; Surgery Assistance,A Doctor 5 is responsible for various tasks in the Healthcare field.
Teacher 5,Education,Low,$50k-$70k,2025-08-08T22:10:16+05:00,Educational Technology; Curriculum Development; Lesson Planning; Public Speaking; Assessment Design; Classroom Management,A Teacher 5 is responsible for various tasks in the Education field.
Content Writer 5,Marketing,High,$110k-$150k,2025-08-08T22:10:16+05:00,Content Marketing; SEO; Market Research; Google Analytics; Email Marketing; Brand Strategy; PPC; Copywriting; Social Media,A Content Writer 5 is responsible for various tasks in the Marketing field.
Mobile App Developer 5,Tech,Low,$50k-$70k,2025-08-08T22:10:16+05:00,Java; HTML; Data Analysis; Kubernetes; Cloud Computing; Python; Node.js; Docker; CSS; C++,A Mobile App Developer 5 is responsible for various tasks in the Tech field.
Cloud Engineer 5,Tech,High,$90k-$110k,2025-08-08T22:10:16+05:00,Machine Learning; Deep Learning; TensorFlow; React; HTML; C++; SQL; Java; PyTorch; Cloud Computing,A Cloud Engineer 5 is responsible for various tasks in the Tech field.
Game Developer 5,Tech,High,$50k-$70k,2025-08-08T22:10:16+05:00,C++; Linux; Data Analysis; Kubernetes; HTML; JavaScript; PyTorch; TensorFlow; Python; Machine Learning,A Game Developer 5 is responsible for various tasks in the Tech field.
Project Manager 5,Business,Medium,$50k-$70k,2025-08-08T22:10:16+05:00,Business Strategy; Risk Management; Budgeting; Leadership; Scrum; Negotiation; Agile; Project Management,A Project Manager 5 is responsible for various tasks in the Business field.
Business Analyst 5,Business,High,$110k-$150k,2025-08-08T22:10:16+05:00,Negotiation; Risk Management; Budgeting; Agile; Project Management; Business Strategy; Scrum; Leadership,A Business Analyst 5 is responsible for various tasks in the Business field.
Data Analyst 5,Tech,Medium,$70k-$90k,2025-08-08T22:10:16+05:00,Python; Machine Learning; TensorFlow; CSS; Kubernetes; Linux; Cloud Computing; PyTorch; React; HTML,A Data Analyst 5 is responsible for various tasks in the Tech field.
Mechanical Engineer 5,Engineering,Medium,$50k-$70k,2025-08-08T22:10:16+05:00,Thermodynamics; 3D Modeling; Problem Solving; Structural Analysis; Project Planning; CAD; Fluid Mechanics; Mathematics,A Mechanical Engineer 5 is responsible for various tasks in the Engineering field.
Civil Engineer 5,Engineering,High,$70k-$90k,2025-08-08T22:10:16+05:00,Mathematics; Structural Analysis; Problem Solving; CAD; 3D Modeling; Fluid Mechanics; Thermodynamics; Project Planning,A Civil Engineer 5 is responsible for various tasks in the Engineering field.
